feature,chi2_score
Landroid/support/v4/app/Fragment;->onDestroy()V,743.6137908805915
Landroid/view/ViewGroup;->addView(Landroid/view/View;)V,741.0076052547595
Landroid/view/View;->onStartTemporaryDetach()V,739.7991640717127
Landroid/support/v7/widget/RecyclerView;->onInterceptTouchEvent(Landroid/view/MotionEvent;)Z,735.4745876866957
Landroid/view/View;->setOnCreateContextMenuListener(Landroid/view/View$OnCreateContextMenuListener;)V,731.6213222732538
Landroid/media/AudioManager;->registerMediaButtonEventReceiver(Landroid/content/ComponentName;)V,730.1605479763382
Landroid/media/session/MediaSession$Callback;->onMediaButtonEvent(Landroid/content/Intent;)Z,730.1130624631668
Landroid/support/v4/widget/SlidingPaneLayout;->draw(Landroid/graphics/Canvas;)V,729.8867116645672
Landroid/support/v4/view/ViewPager;->setOffscreenPageLimit(I)V,723.7290548526662
Landroid/support/v4/widget/ContentLoadingProgressBar;-><init>(Landroid/content/Context;)V,721.9707948295625
Landroid/view/View;->setRotationY(F)V,717.4186280045218
Landroid/graphics/drawable/Drawable;->invalidateSelf()V,713.3966881067823
Landroid/app/Activity;->getCallingActivity()Landroid/content/ComponentName;,710.4171146741647
Landroid/content/Intent;->resolveTypeIfNeeded(Landroid/content/ContentResolver;)Ljava/lang/String;,705.7094793397496
Landroid/media/MediaPlayer;->reset()V,704.3802315837954
Landroid/support/v4/view/ViewPager;-><init>(Landroid/content/Context;)V,704.220325947985
Landroid/app/Dialog;->setContentView(Landroid/view/View;)V,703.6113248689092
Landroid/os/CancellationSignal;->setOnCancelListener(Landroid/os/CancellationSignal$OnCancelListener;)V,703.0830169491901
Landroid/view/accessibility/AccessibilityNodeInfo;->recycle()V,700.1071684737132
Landroid/support/v4/app/Fragment;->getChildFragmentManager()Landroid/support/v4/app/FragmentManager;,699.7262866325411
Landroid/os/ParcelFileDescriptor$AutoCloseOutputStream;->close()V,696.0136032573953
Landroid/view/View;->requestFocus()Z,694.2936163492102
Landroid/view/ViewPropertyAnimator;->rotationY(F)Landroid/view/ViewPropertyAnimator;,691.1695509308742
Landroid/telephony/TelephonyManager;->getPhoneType()I,687.4584666862636
Landroid/widget/TextView;->setSingleLine()V,686.6586837469415
Landroid/widget/ImageView;->setImageResource(I)V,685.4066424309577
Landroid/content/Context;->getString(I)Ljava/lang/String;,684.3353801828525
Landroid/animation/ValueAnimator;->cancel()V,679.15104785518
Landroid/widget/VideoView;->start()V,679.1102836052178
Landroid/app/Fragment;->onStart()V,675.5551467586109
Landroid/widget/TextView;->setSingleLine(Z)V,674.8164839956853
Landroid/widget/VideoView;->setVideoPath(Ljava/lang/String;)V,672.871169314871
Landroid/widget/TextView;->setEllipsize(Landroid/text/TextUtils$TruncateAt;)V,670.8200112959872
Landroid/support/v4/content/FileProvider;-><init>()V,670.2122540017143
Landroid/content/res/Resources;->getString(I)Ljava/lang/String;,670.0334935370361
Landroid/database/DataSetObservable;->notifyChanged()V,669.0253297985804
Landroid/content/res/Resources;->getDrawable(I)Landroid/graphics/drawable/Drawable;,668.8742559750992
Landroid/support/v4/app/DialogFragment;->onAttach(Landroid/app/Activity;)V,667.1860941079594
Landroid/view/ViewPropertyAnimator;->translationZ(F)Landroid/view/ViewPropertyAnimator;,666.3204171999946
Landroid/widget/ProgressBar;->setProgressDrawable(Landroid/graphics/drawable/Drawable;)V,664.33146314669
Landroid/media/MediaRouter;->removeUserRoute(Landroid/media/MediaRouter$UserRouteInfo;)V,662.5776660843701
Landroid/app/Activity;->startActivity(Landroid/content/Intent;)V,659.8755264570036
Landroid/widget/ImageView;->setImageDrawable(Landroid/graphics/drawable/Drawable;)V,658.5272035368245
Landroid/view/View;->setBackgroundColor(I)V,657.2218360669514
Landroid/view/GestureDetector;->onTouchEvent(Landroid/view/MotionEvent;)Z,657.1428339777196
Landroid/support/v4/app/ActionBarDrawerToggle;->onConfigurationChanged(Landroid/content/res/Configuration;)V,655.1695203844854
Landroid/widget/VideoView;-><init>(Landroid/content/Context;)V,653.0679219339048
Landroid/animation/ValueAnimator;->start()V,651.2063491619606
Landroid/os/Parcel;->writeBundle(Landroid/os/Bundle;)V,651.1978586133408
Landroid/view/Window;->addFlags(I)V,649.8932954164923
Landroid/os/Environment;->getStorageState(Ljava/io/File;)Ljava/lang/String;,648.7637225745044
Landroid/support/v4/app/FragmentTabHost;->onTabChanged(Ljava/lang/String;)V,647.1411110544972
Landroid/app/PendingIntent;->send()V,640.4553826131262
Landroid/app/Activity;->finish()V,639.6511355990448
Landroid/widget/TabWidget;-><init>(Landroid/content/Context;)V,637.4878865761652
Landroid/widget/ImageView;->setImageMatrix(Landroid/graphics/Matrix;)V,636.4212606825938
Landroid/view/View;->setVisibility(I)V,628.7912272701316
Landroid/support/v4/widget/SlidingPaneLayout;-><init>(Landroid/content/Context;)V,628.7466494128688
Landroid/view/View;->setBackgroundDrawable(Landroid/graphics/drawable/Drawable;)V,626.4518040647856
Landroid/support/v4/app/NotificationCompat$Builder;->build()Landroid/app/Notification;,625.5443513580158
Landroid/widget/ListView;->setAdapter(Landroid/widget/ListAdapter;)V,624.8833219200865
Landroid/app/Dialog;->dismiss()V,623.2411438264835
Landroid/webkit/WebView;->stopLoading()V,621.7963911087177
Landroid/support/v4/widget/DrawerLayout;->openDrawer(I)V,620.2330475365077
Landroid/widget/MediaController;-><init>(Landroid/content/Context;)V,616.808790493769
Landroid/webkit/WebView;->setWebViewClient(Landroid/webkit/WebViewClient;)V,616.50458776374
Landroid/view/accessibility/AccessibilityNodeInfo;->getWindow()Landroid/view/accessibility/AccessibilityWindowInfo;,615.650105112339
Landroid/view/View;-><init>(Landroid/content/Context;)V,611.390711059762
Landroid/view/View;->setOutlineProvider(Landroid/view/ViewOutlineProvider;)V,607.5849799419702
Landroid/webkit/WebView;-><init>(Landroid/content/Context;)V,607.1652821420728
Landroid/os/Messenger;->send(Landroid/os/Message;)V,607.1593460793458
Landroid/widget/SearchView;->setQueryHint(Ljava/lang/CharSequence;)V,602.157295266284
Landroid/support/v4/widget/ExploreByTouchHelper;-><init>(Landroid/view/View;)V,601.635143768809
Landroid/view/LayoutInflater;->from(Landroid/content/Context;)Landroid/view/LayoutInflater;,600.5154084149658
Landroid/graphics/drawable/AnimatedVectorDrawable;->start()V,600.4398603524189
Landroid/widget/VideoView;->stopPlayback()V,599.7211049720493
Landroid/app/NotificationManager;->cancel(I)V,599.6034461723773
Landroid/widget/HorizontalScrollView;-><init>(Landroid/content/Context;)V,596.7386391333166
Landroid/app/AlarmManager;->cancel(Landroid/app/PendingIntent;)V,595.7575245697539
Landroid/support/v4/app/TaskStackBuilder;->startActivities(Landroid/os/Bundle;)V,591.6230471066385
Landroid/content/Intent;->getSerializableExtra(Ljava/lang/String;)Ljava/io/Serializable;,591.3240556563725
Landroid/text/Html;->fromHtml(Ljava/lang/String;)Landroid/text/Spanned;,591.0113495162411
Landroid/support/v7/widget/RecyclerView$Recycler;->getViewForPosition(I)Landroid/view/View;,582.566765146356
Landroid/support/v4/app/FragmentActivity;->onRetainNonConfigurationInstance()Ljava/lang/Object;,581.2763393310496
Landroid/widget/Button;-><init>(Landroid/content/Context;)V,578.5124993026716
Landroid/app/Dialog;->show()V,575.5313821276694
Landroid/content/res/Resources;->openRawResourceFd(I)Landroid/content/res/AssetFileDescriptor;,571.595378820075
Landroid/content/Intent;->getByteArrayExtra(Ljava/lang/String;)[B,566.3446673367721
Landroid/widget/FrameLayout;-><init>(Landroid/content/Context;)V,564.0813778231261
Landroid/widget/TextView;->setGravity(I)V,563.2070197362709
Landroid/webkit/WebView;->setDownloadListener(Landroid/webkit/DownloadListener;)V,561.1990797403798
Landroid/view/View;->performHapticFeedback(I)Z,560.2681618492066
Landroid/widget/ImageView;->setImageBitmap(Landroid/graphics/Bitmap;)V,559.1234494242108
Landroid/widget/SearchView;-><init>(Landroid/content/Context;)V,558.558942051947
Landroid/widget/ImageView;->setVisibility(I)V,557.2831115359686
Landroid/widget/VideoView;->setMediaController(Landroid/widget/MediaController;)V,555.4267168698116
Landroid/telephony/TelephonyManager;->getSimSerialNumber()Ljava/lang/String;,554.876807968144
Landroid/webkit/WebView;->destroy()V,553.6031740833309
Landroid/view/View;->setLayoutDirection(I)V,548.8645025816588
Landroid/telephony/TelephonyManager;->getCellLocation()Landroid/telephony/CellLocation;,540.9891971845934
Landroid/view/Display;->getWidth()I,538.1574823969001
Landroid/content/ContentResolver;->getType(Landroid/net/Uri;)Ljava/lang/String;,536.2863155633725
Landroid/widget/ListView;-><init>(Landroid/content/Context;)V,535.1884266916986
Landroid/telephony/TelephonyManager;->getNeighboringCellInfo()Ljava/util/List;,533.3369606228638
Landroid/view/View;->setClickable(Z)V,525.1259825671411
Landroid/support/v4/view/ViewPager;->endFakeDrag()V,515.5621215240872
Landroid/widget/TextView;-><init>(Landroid/content/Context;)V,512.107374689989
